timestamp_start,timestamp_end,src_ip,dst_ip,dst_port,protocol,rule_name,severity,reason,pkt_count,window_mean,window_std,z_score
2017-07-03 13:57:58,2017-07-03 13:57:59,192.168.10.50,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 88 pkts/1s vs baseline mean=8.00, std=22.34 (z=3.58)",88,8.0,22.335110092792085,3.5818045967822356
2017-07-03 14:02:30,2017-07-03 14:02:31,192.168.10.19,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 175 pkts/1s vs baseline mean=17.77, std=47.65 (z=3.30)",175,17.76923076923077,47.64828406521031,3.2998201785312338
2017-07-03 14:04:39,2017-07-03 14:04:40,192.168.10.16,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 131 pkts/1s vs baseline mean=10.93, std=33.33 (z=3.60)",131,10.933333333333334,33.33480949112389,3.601840493452857
2017-07-03 14:04:41,2017-07-03 14:04:42,192.168.10.16,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 78 pkts/1s vs baseline mean=6.17, std=18.01 (z=3.99)",78,6.166666666666667,18.01388353465182,3.9876650248767
2017-07-03 14:04:46,2017-07-03 14:04:47,192.168.10.16,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 50 pkts/1s vs baseline mean=5.06, std=12.45 (z=3.61)",50,5.055555555555555,12.44976835230856,3.6100627074005276
2017-07-03 14:06:25,2017-07-03 14:06:26,192.168.10.14,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 171 pkts/1s vs baseline mean=22.44, std=46.07 (z=3.22)",171,22.444444444444443,46.065454993854665,3.224879805819209
2017-07-03 14:06:26,2017-07-03 14:06:27,104.27.175.43,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 1472 pkts/1s vs baseline mean=146.28, std=397.82 (z=3.33)",1472,146.27777777777777,397.8216871554916,3.332453370507309
2017-07-03 14:06:28,2017-07-03 14:06:29,192.168.10.14,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 348 pkts/1s vs baseline mean=57.21, std=89.40 (z=3.25)",348,57.214285714285715,89.40072153505815,3.2526103737505494
2017-07-03 14:06:30,2017-07-03 14:06:31,172.217.11.14,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 913 pkts/1s vs baseline mean=102.38, std=268.12 (z=3.02)",913,102.38095238095238,268.1198381676515,3.0233460275034894
2017-07-03 14:06:31,2017-07-03 14:06:32,192.168.10.14,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 528 pkts/1s vs baseline mean=62.79, std=136.09 (z=3.42)",528,62.78947368421053,136.08966772249357,3.4184118023156667
2017-07-03 14:06:32,2017-07-03 14:06:33,192.168.10.14,,,ANY,ANOMALOUS_PKT_RATE,MEDIUM,"Anomalous packet rate: 446 pkts/1s vs baseline mean=39.00, std=91.70 (z=4.44)",446,39.0,91.6951470907812,4.438620940288766
2017-07-03 14:06:33,2017-07-03 14:06:34,192.168.10.14,,,ANY,ANOMALOUS_PKT_RATE,LOW,"Anomalous packet rate: 206 pkts/1s vs baseline mean=27.82, std=56.49 (z=3.15)",206,27.818181818181817,56.488208937067114,3.1543187779298965
